"","city_ibge_code","lat","long"
"597",3106408,-20.4077,-44.0275
"598",1501451,-2.63609,-54.9374
"599",2201606,-5.45676,-42.3638
"600",2101806,-7.21037,-44.5577
"601",4202206,-26.781,-49.3593
"602",1501501,-1.36183,-48.2434
"603",1300607,-4.37768,-70.0342
"604",4302055,-27.5086,-52.5995
"605",3506201,-21.2686,-50.814
"606",2401602,-5.69906,-35.813
"607",4302105,-29.1662,-51.5165
"608",2101905,-2.44162,-44.7842
"609",3106507,-16.9567,-42.4606
"610",3106655,-15.61,-41.7432
"611",2502052,-6.44572,-38.5521
"612",3506300,-23.0164,-49.4679
"613",2101939,-4.62666,-44.7608
"614",1703206,-7.87481,-48.8893
"615",3506359,-23.8486,-46.1396
"616",2201705,-7.63338,-43.9498
"617",3106606,-17.059,-40.58
"618",1300631,-3.89874,-61.3616
"619",2601805,-8.26787,-38.0345
"620",2201739,-8.14376,-40.7989
"621",3106705,-19.9668,-44.2008
"622",2601904,-8.2328,-35.796
"623",3106804,-21.602,-43.7574
"624",3106903,-21.7232,-43.056
"625",4202305,-27.496,-48.6598
"626",3506409,-21.404,-50.4746
"627",3107000,-18.7754,-45.4974
"628",3506508,-21.291,-50.3432
"629",3506607,-23.5698,-46.0407
"630",2903607,-11.6072,-38.8051
"631",4102901,-26.1607,-51.5518
"632",4202404,-26.9155,-49.0709
"633",4103008,-24.2467,-52.7876
"634",3107109,-21.0927,-45.5612
"635",3201001,-18.5395,-40.3025
"636",4103024,-25.6324,-53.2108
"637",3506706,-21.9918,-48.3906
"638",2201770,-4.41404,-42.1357
"639",2903706,-14.3598,-40.2064
"640",2502102,-7.40982,-38.2113
"641",4103040,-24.8688,-51.6276
"642",2302404,-5.11258,-39.7337
"643",1400100,2.82384,-60.6753
"644",2502151,-7.26365,-36.2357
"645",4103057,-25.4308,-53.4117
"646",4302154,-27.6671,-53.3102
"647",4302204,-27.6693,-54.1082
"648",4302220,-28.5791,-53.8108
"649",2101970,-1.77614,-46.3002
"650",4302238,-28.8185,-53.391
"651",1300680,-2.97409,-57.5873
"652",4302253,-29.3544,-51.6687
"653",2903805,-12.6498,-40.6064
"654",2701001,-9.64308,-36.2125
"655",1300706,-8.74232,-67.3919
"656",2201804,-6.94124,-41.3168
"657",3506805,-22.1365,-48.523
"658",3107208,-22.1697,-44.3972
"659",4202438,-27.7455,-49.9423
"660",3107307,-17.1135,-43.8104
"661",4103107,-25.2066,-49.1141
"662",2401651,-5.98027,-36.4167
"663",2602001,-7.77759,-39.9338
"664",5002159,-20.537,-56.7127
"665",3506904,-23.1055,-48.2582
"666",3507001,-23.2855,-47.6786
"667",2602100,-9.16919,-36.6857
"668",3107406,-19.7386,-45.2622
"669",3300506,-22.1545,-42.4251
"670",2602209,-7.79695,-35.5784
"671",2102002,-3.54129,-45.606
"672",4202503,-28.3377,-49.6373
"673",5203401,-16.2063,-52.1728
"674",3107505,-21.9479,-44.1885
"675",4202537,-26.7326,-52.3919
"676",4302303,-28.6697,-50.4295
"677",2201903,-9.07124,-44.359
"678",2401701,-5.98648,-35.5792
"679",2502201,-6.81601,-38.6453
"680",2903904,-13.2506,-43.4108
"681",3107604,-21.0148,-46.5174
"682",2903953,-14.3663,-40.5126
"683",2102036,-4.47638,-46.8641
"684",5203500,-18.2173,-49.74
"685",3107703,-19.7054,-43.4782
"686",5101852,-12.1706,-51.5032
"687",3107802,-19.836,-42.3165
"688",3300605,-21.1449,-41.6822
"689",3201100,-21.1173,-41.6731
"690",4202578,-26.6927,-53.0967
"691",4103156,-26.1958,-53.5955
"692",1501576,-5.0424,-48.6047
"693",1703305,-8.96306,-48.165
"694",3507100,-23.1356,-46.4675
"695",2102077,-4.37311,-45.0326
"696",4302352,-29.4856,-51.3548
"697",2201919,-3.19631,-41.6403
"698",4302378,-27.5399,-53.8716
"699",3107901,-22.4675,-46.144
"700",4202602,-27.799,-49.487
"701",4302402,-29.6071,-51.9456
"702",3108008,-21.0329,-44.7537
"703",4103206,-23.7063,-51.7671
"704",2502300,-6.44176,-37.9234
"705",3507159,-24.3155,-49.1451
"706",4103222,-26.0731,-52.8353
"707",4202453,-27.1382,-48.5146
"708",1400159,3.36161,-59.8333
"709",3108107,-20.3302,-44.2366
"710",2201929,-9.1605,-42.8865
"711",5203559,-16.6173,-48.9616
"712",3108206,-16.568,-45.9839
"713",2904001,-12.7069,-41.8286
"714",2602308,-8.47163,-35.7292
"715",2904050,-11.9668,-41.2647
"716",1501600,-1.36745,-47.3066
"717",5002209,-21.1261,-56.4836
"718",3108255,-15.3231,-44.7543
"719",2502409,-7.31341,-38.5133
"720",5203575,-13.6329,-49.8106
"721",2502508,-7.487,-36.1309
"722",4302451,-29.3046,-52.4284
"723",2201945,-4.48181,-42.1212
"724",2800670,-11.1397,-37.6195
"725",2904100,-12.8205,-42.7324
"726",3507209,-22.2696,-50.5409
"727",3507308,-22.1926,-48.7808
"728",1300805,-4.39154,-59.5874
"729",2502706,-6.80199,-35.6187
"730",3507407,-21.6214,-49.0741
"731",3108305,-22.2707,-46.1653
"732",3507456,-22.5728,-48.9707
"733",4103305,-23.9366,-51.5875
"734",4302501,-28.7291,-54.9035
"735",3108404,-21.6412,-46.391
"736",3507506,-22.8837,-48.4437
"737",3108503,-16.8657,-43.0086
"738",2904209,-13.3772,-42.5163
"739",4202701,-27.2007,-49.0689
